dataset,pool,query,slice,k,recall@k (macro),recall@k (micro),impressions,clicks,random_baseline,lift_over_random
ebnerd,available,binary,has-query,50,0.0202,0.0202,17749,17856,0.01701709293218091,1.19
ebnerd,available,binary,has-query,100,0.0374,0.0374,17749,17856,0.03403418586436182,1.1
ebnerd,available,binary,has-query,200,0.0724,0.0722,17749,17856,0.06806837172872364,1.06
ebnerd,available,raw_tf,has-query,50,0.0206,0.0207,17749,17856,0.01701709293218091,1.21
ebnerd,available,raw_tf,has-query,100,0.04,0.04,17749,17856,0.03403418586436182,1.18
ebnerd,available,raw_tf,has-query,200,0.0727,0.0726,17749,17856,0.06806837172872364,1.07
ebnerd,whole-corpus,binary,has-query,50,0.0081,0.0081,17749,17856,0.004245563386261357,1.91
ebnerd,whole-corpus,binary,has-query,100,0.0138,0.0138,17749,17856,0.008491126772522714,1.63
ebnerd,whole-corpus,binary,has-query,200,0.0242,0.0242,17749,17856,0.016982253545045428,1.43
ebnerd,whole-corpus,raw_tf,has-query,50,0.0077,0.0076,17749,17856,0.004245563386261357,1.81
ebnerd,whole-corpus,raw_tf,has-query,100,0.0131,0.013,17749,17856,0.008491126772522714,1.54
ebnerd,whole-corpus,raw_tf,has-query,200,0.0245,0.0245,17749,17856,0.016982253545045428,1.44
mind,available,binary,has-query,50,0.0162,0.0164,49649,75962,0.0023569001725579977,6.87
mind,available,binary,has-query,100,0.0267,0.0265,49649,75962,0.0047138003451159954,5.66
mind,available,binary,has-query,200,0.042,0.042,49649,75962,0.009427600690231991,4.46
mind,available,raw_tf,has-query,50,0.0184,0.0186,49649,75962,0.0023569001725579977,7.81
mind,available,raw_tf,has-query,100,0.027,0.0271,49649,75962,0.0047138003451159954,5.73
mind,available,raw_tf,has-query,200,0.0395,0.0399,49649,75962,0.009427600690231991,4.19
mind,whole-corpus,binary,has-query,50,0.0061,0.0062,49649,75962,0.0007664244765320825,7.96
mind,whole-corpus,binary,has-query,100,0.0111,0.0112,49649,75962,0.001532848953064165,7.24
mind,whole-corpus,binary,has-query,200,0.0184,0.0185,49649,75962,0.00306569790612833,6.0
mind,whole-corpus,raw_tf,has-query,50,0.0064,0.0066,49649,75962,0.0007664244765320825,8.35
mind,whole-corpus,raw_tf,has-query,100,0.0125,0.0128,49649,75962,0.001532848953064165,8.15
mind,whole-corpus,raw_tf,has-query,200,0.0205,0.0205,49649,75962,0.00306569790612833,6.69
